time,side,price,equity
2025-05-14 13:34:00+00:00,BUY,104298.42815249998,10000.0
2025-05-14 13:37:00+00:00,SELL,104051.92801,9956.423125962414
2025-05-14 13:39:00+00:00,BUY,104266.84737,9956.423125962414
2025-05-14 13:42:00+00:00,SELL,104047.94650175,9915.659214994703
2025-05-14 13:59:00+00:00,BUY,104032.9905,9915.659214994703
2025-05-14 14:01:00+00:00,SELL,103837.54075725,9877.246219831948
2025-05-14 14:41:00+00:00,BUY,103387.16775,9877.246219831948
2025-05-14 14:44:00+00:00,SELL,103215.38649,9841.123033845355
2025-05-14 14:47:00+00:00,BUY,103335.79357575,9841.123033845355
2025-05-14 14:56:00+00:00,SELL,103212.4209735,9809.724799156438
2025-05-14 15:11:00+00:00,BUY,103236.0672375,9809.724799156438
2025-05-14 15:20:00+00:00,SELL,103120.72884250002,9779.177352375393
2025-05-14 15:23:00+00:00,BUY,103294.709544,9779.177352375393
2025-05-14 15:46:00+00:00,SELL,103244.63186000001,9754.897270190957
2025-05-14 15:53:00+00:00,BUY,103447.3128075,9754.897270190957
2025-05-14 15:54:00+00:00,SELL,103297.85973275,9721.33224412596
2025-05-14 15:55:00+00:00,BUY,103441.8800925,9721.33224412596
2025-05-14 16:17:00+00:00,SELL,103387.4414195,9696.793452902883
2025-05-14 16:24:00+00:00,BUY,103497.92309999999,9696.793452902883
2025-05-14 16:27:00+00:00,SELL,103381.2185325,9666.497286836408
2025-05-14 16:29:00+00:00,BUY,103505.00714024999,9666.497286836408
2025-05-14 16:40:00+00:00,SELL,103420.41242575001,9639.289316757466
2025-05-14 16:42:00+00:00,BUY,103572.8855625,9639.289316757466
2025-05-14 16:43:00+00:00,SELL,103386.04611750001,9602.6664217091
2025-05-14 16:56:00+00:00,BUY,103484.2552695,9602.6664217091
2025-05-14 17:02:00+00:00,SELL,103366.76626225,9572.590268663665
2025-05-14 17:03:00+00:00,BUY,103491.2547675,9572.590268663665
2025-05-14 17:04:00+00:00,SELL,103364.72478350002,9541.774461572431
2025-05-14 17:41:00+00:00,BUY,103144.8716625,9541.774461572431
2025-05-14 18:10:00+00:00,SELL,103051.63590625001,9514.092598656422
2025-05-14 18:12:00+00:00,BUY,103222.275345,9514.092598656422
2025-05-14 18:15:00+00:00,SELL,103059.47248600001,9480.09823382034
2025-05-14 18:19:00+00:00,BUY,103412.06019,9480.09823382034
2025-05-14 18:38:00+00:00,SELL,103183.1875975,9440.20801236453
2025-05-14 18:40:00+00:00,BUY,103333.78207049999,9440.20801236453
2025-05-14 19:33:00+00:00,SELL,103448.573838,9431.803042039617
2025-05-14 19:34:00+00:00,BUY,103601.9751,9431.803042039617
2025-05-14 19:38:00+00:00,SELL,103407.74526250002,9395.301757004025
2025-05-14 19:42:00+00:00,BUY,103627.5648885,9395.301757004025
2025-05-14 19:45:00+00:00,SELL,103416.47589500001,9357.420608661887
2025-05-14 20:01:00+00:00,BUY,103548.64794975,9357.420608661887
2025-05-14 20:07:00+00:00,SELL,103384.6268275,9323.92259434467
2025-05-14 20:21:00+00:00,BUY,103513.0656675,9323.92259434467
2025-05-14 20:24:00+00:00,SELL,103356.24002800001,9291.186267008596
2025-05-14 20:27:00+00:00,BUY,103496.47737749999,9291.186267008596
2025-05-14 21:02:00+00:00,SELL,103442.622815,9267.788166114296
2025-05-14 21:03:00+00:00,BUY,103612.81101524999,9267.788166114296
2025-05-14 21:14:00+00:00,SELL,103459.95964225002,9235.617189885677
2025-05-14 21:15:00+00:00,BUY,103612.87804875,9235.617189885677
2025-05-14 21:38:00+00:00,SELL,103435.97364125,9201.418195793674
2025-05-14 21:39:00+00:00,BUY,103608.180201,9201.418195793674
2025-05-14 22:03:00+00:00,SELL,103521.17352000001,9175.312964235647
2025-05-14 22:30:00+00:00,BUY,103635.783996,9175.312964235647
2025-05-14 22:31:00+00:00,SELL,103475.666285,9142.823955103966
2025-05-14 23:14:00+00:00,BUY,103600.5093675,9142.823955103966
2025-05-14 23:16:00+00:00,SELL,103371.48190325,9104.376005131344
2025-05-14 23:20:00+00:00,BUY,103620.52086825,9104.376005131344
2025-05-14 23:21:00+00:00,SELL,103472.75923925001,9073.21957819589
2025-05-14 23:28:00+00:00,BUY,103653.2057025,9073.21957819589
2025-05-15 00:00:00+00:00,SELL,103467.66278875,9038.873294005933
2025-05-15 00:01:00+00:00,BUY,103601.58590549999,9038.873294005933
2025-05-15 01:06:00+00:00,SELL,103631.79568125,9023.435014013481
2025-05-15 02:23:00+00:00,BUY,103231.21781399999,9023.435014013481
2025-05-15 02:24:00+00:00,SELL,103100.21160625001,8993.968813118654
2025-05-15 02:49:00+00:00,BUY,103193.03373149999,8993.968813118654
2025-05-15 03:00:00+00:00,SELL,103022.463,8961.15319781192
2025-05-15 03:01:00+00:00,BUY,103161.98621549999,8961.15319781192
2025-05-15 03:05:00+00:00,SELL,102957.66091725,8925.526640394806
2025-05-15 04:11:00+00:00,BUY,102954.74914875,8925.526640394806
2025-05-15 04:13:00+00:00,SELL,102758.646974,8890.7176770225
2025-05-15 04:19:00+00:00,BUY,102916.3754715,8890.7176770225
2025-05-15 04:20:00+00:00,SELL,102758.24467525001,8859.311870697324
2025-05-15 04:21:00+00:00,BUY,102942.66060749999,8859.311870697324
2025-05-15 04:29:00+00:00,SELL,102782.37960175,8827.835793354661
2025-05-15 04:30:00+00:00,BUY,102936.31243499999,8827.835793354661
2025-05-15 04:41:00+00:00,SELL,102760.93083150001,8795.178259706581
2025-05-15 04:43:00+00:00,BUY,102941.727141,8795.178259706581
2025-05-15 04:49:00+00:00,SELL,102790.10773575,8764.668471611398
2025-05-15 04:56:00+00:00,BUY,102961.549047,8764.668471611398
2025-05-15 05:04:00+00:00,SELL,102744.90185000001,8728.74253255967
2025-05-15 06:12:00+00:00,BUY,102602.381553,8728.74253255967
2025-05-15 06:14:00+00:00,SELL,102481.247743,8701.009100684989
2025-05-15 06:16:00+00:00,BUY,102655.9473225,8701.009100684989
2025-05-15 06:32:00+00:00,SELL,102457.08433075,8666.794061430306
2025-05-15 07:06:00+00:00,BUY,102496.38258,8666.794061430306
2025-05-15 07:08:00+00:00,SELL,102309.44968500001,8633.694238920869
2025-05-15 08:01:00+00:00,BUY,102103.176075,8633.694238920869
2025-05-15 08:21:00+00:00,SELL,101869.82560699999,8596.743155945258
2025-05-15 08:23:00+00:00,BUY,102083.04151275,8596.743155945258
2025-05-15 09:06:00+00:00,SELL,102100.5591825,8581.030537050321
2025-05-15 09:52:00+00:00,BUY,101942.39122275,8581.030537050321
2025-05-15 09:58:00+00:00,SELL,101722.61325000001,8545.414163249867
2025-05-15 10:18:00+00:00,BUY,101924.75240775,8545.414163249867
2025-05-15 10:31:00+00:00,SELL,101714.58776475,8510.746811130333
2025-05-15 10:50:00+00:00,BUY,101883.20364375,8510.746811130333
2025-05-15 10:52:00+00:00,SELL,101722.98306500001,8480.376661410484
2025-05-15 10:59:00+00:00,BUY,101916.55731225,8480.376661410484
2025-05-15 12:48:00+00:00,SELL,102564.342175,8517.218181646322
2025-05-15 12:54:00+00:00,BUY,102678.33851249999,8517.218181646322
2025-05-15 12:55:00+00:00,SELL,102528.4851125,8487.786698390584
